Customer,State,Gender,Education,Customer_Lifetime_Value,Income,Monthly Premium Auto,Number_of_Open_Complaints,Policy_Type,Vehicle_Class,Total_Claim_Amount
RB50392,Washington,U,Masters,588174.0,0.0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.0
QZ44356,Arizona,Female,Bachelors,697953.0,0.0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.0
AI49188,Nevada,Female,Bachelors,1288743.0,48767.0,108.0,1/0/00,Personal Auto,Two-Door Car,566.0
WW63253,California,Male,Bachelors,764586.0,0.0,106.0,1/0/00,Corporate Auto,SUV,529.0
GA49547,Washington,Male,High School or Below,536307.0,36357.0,68.0,1/0/00,Personal Auto,Four-Door Car,17.0
OC83172,Oregon,Female,Bachelors,825629.0,62902.0,69.0,1/0/00,Personal Auto,Two-Door Car,159.0
XZ87318,Oregon,Female,High School or Below,538089.0,55350.0,67.0,1/0/00,Corporate Auto,Four-Door Car,321.0
CF85061,Arizona,Male,Masters,721610.0,0.0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.0
DY87989,Oregon,Male,Bachelors,2412750.0,14072.0,71.0,1/0/00,Corporate Auto,Four-Door Car,511.0
BQ94931,Oregon,Female,High School or Below,738817.0,28812.0,93.0,1/0/00,Special Auto,Four-Door Car,425.0
SX51350,California,Male,High School or Below,473899.0,0.0,67.0,1/0/00,Personal Auto,Four-Door Car,482.0
VQ65197,California,U,High School or Below,819719.0,0.0,110.0,1/0/00,Personal Auto,SUV,528.0
DP39365,California,U,Masters,879879.0,77026.0,110.0,1/2/00,Corporate Auto,Four-Door Car,472.0
SJ95423,Arizona,U,High School or Below,881901.0,99845.0,110.0,1/1/00,Corporate Auto,SUV,528.0
IL66569,California,U,High School or Below,538443.0,83689.0,70.0,1/2/00,Corporate Auto,Four-Door Car,307.0
BW63560,Oregon,U,Bachelors,746313.0,24599.0,64.0,1/1/00,Corporate Auto,Four-Door Car,42.0
FV94802,Nevada,U,High School or Below,256686.0,25049.0,67.0,1/0/00,Personal Auto,Two-Door Car,454.0
OE15005,California,U,High School or Below,394524.0,28855.0,101.0,1/0/00,Personal Auto,SUV,647.0
WC83389,Oregon,U,High School or Below,571033.0,51148.0,72.0,1/0/00,Personal Auto,Four-Door Car,308.0
FL50705,California,U,High School or Below,816261.0,66140.0,101.0,1/0/00,Corporate Auto,Four-Door Car,484.0
ZK25313,Oregon,U,High School or Below,287205.0,57749.0,74.0,1/0/00,Personal Auto,Two-Door Car,355.0
QK46697,Washington,Male,High School or Below,617710.0,61040.0,79.0,1/1/00,Personal Auto,Two-Door Car,20.0
YH23384,Arizona,U,Bachelors,2412750.0,14072.0,71.0,1/0/00,Personal Auto,Four-Door Car,511.0
TZ98966,Nevada,U,Bachelors,245019.0,0.0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.0
HM55802,California,U,Bachelors,239210.0,17870.0,61.0,1/0/00,Corporate Auto,Four-Door Car,439.0
FS42516,Oregon,U,High School or Below,580206.0,97541.0,72.0,1/0/00,Personal Auto,Four-Door Car,389.0
US89481,California,U,Bachelors,394637.0,0.0,111.0,1/0/00,Personal Auto,Four-Door Car,799.0
HS14476,Washington,Male,High School or Below,916206.0,29723.0,80.0,1/0/00,Personal Auto,Four-Door Car,20.0
GE62437,Arizona,U,High School or Below,1290256.0,86584.0,111.0,1/2/00,Personal Auto,Four-Door Car,532.0
EJ77678,Oregon,U,Masters,323536.0,75690.0,80.0,1/1/00,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,U,High School or Below,245458.0,23158.0,63.0,1/1/00,Personal Auto,Four-Door Car,322.0
UL64533,Nevada,U,High School or Below,1897545.0,65999.0,237.0,1/0/00,Corporate Auto,Luxury SUV,615.0
PF41800,California,U,Bachelors,471532.0,0.0,65.0,1/0/00,Personal Auto,Four-Door Car,308.0
HD95276,Washington,Female,High School or Below,473787.0,0.0,130.0,1/0/00,Personal Auto,SUV,23.0
SK67821,Oregon,U,Bachelors,493291.0,37260.0,62.0,1/0/00,Corporate Auto,Four-Door Car,15.0
YV55495,Arizona,U,High School or Below,574422.0,68987.0,71.0,1/0/00,Personal Auto,Four-Door Car,204.0
KY38074,California,U,Bachelors,1389173.0,42305.0,117.0,1/0/00,Personal Auto,Four-Door Car,561.0
DM79012,Oregon,U,Masters,738097.0,65706.0,91.0,1/0/00,Personal Auto,Four-Door Car,436.0
CM61827,Oregon,U,Bachelors,309003.0,0.0,90.0,1/0/00,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,U,High School or Below,252163.0,53243.0,66.0,1/2/00,Personal Auto,Four-Door Car,157.0
QG25316,Nevada,U,High School or Below,265206.0,0.0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.0
MB98372,Oregon,U,High School or Below,277104.0,50071.0,71.0,1/0/00,Corporate Auto,Two-Door Car,18.0
IL19217,California,U,Bachelors,393900.0,60021.0,99.0,1/0/00,Personal Auto,Four-Door Car,882.0
